event_date,entry_date,exit_date,entry_price,exit_price,gross_return,net_return
2013-08-16,2013-08-19,2013-08-23,5497.5498046875,5471.75,-0.0046929642484551115,-0.005688022457447595
2013-08-27,2013-08-28,2013-09-03,5233.4501953125,5341.4501953125,0.0206364818560294,0.019616100533293768
2013-09-03,2013-09-04,2013-09-11,5358.64990234375,5913.14990234375,0.10347755686697768,0.1023743551795
2015-08-24,2015-08-25,2015-08-31,7895.39990234375,7971.2998046875,0.00961318024198099,0.00860381946503419
2016-02-11,2016-02-12,2016-02-18,7023.64990234375,7191.75,0.023933439165320092,0.022909761709514642
2020-02-28,2020-03-02,2020-03-06,11387.349609375,10989.4501953125,-0.03494223218850823,-0.03590704869187766
2020-03-09,2020-03-11,2020-03-17,10334.2998046875,8967.0498046875,-0.13230214197771129,-0.133169622911269
2020-03-23,2020-03-24,2020-03-30,7848.2998046875,8281.099609375,0.05514567682914007,0.05409079493873037
2020-03-30,2020-03-31,2020-04-08,8529.349609375,8748.75,0.02572299186609106,0.024697525304973267
2020-04-21,2020-04-22,2020-04-28,9026.75,9380.900390625,0.0392334329215942,0.038194459297030914
2020-05-04,2020-05-05,2020-05-11,9429.400390625,9239.2001953125,-0.020170974551213527,-0.021150558619405846
2020-05-18,2020-05-19,2020-05-26,8961.7001953125,9029.0498046875,0.007515271422517289,0.006508008029912693
2020-12-21,2020-12-22,2020-12-29,13373.650390625,13932.599609375,0.041794813115634266,0.04075327875122192
2021-02-26,2021-03-01,2021-03-05,14702.5,14938.099609375,0.016024459063084473,0.015008688610136156
2021-04-12,2021-04-13,2021-04-20,14364.900390625,14296.400390625,-0.004768567698854698,-0.005763550323297673
2022-02-14,2022-02-15,2022-02-21,16933.25,17206.650390625,0.016145771817282606,0.015129880081908409
2022-02-24,2022-02-25,2022-03-04,16515.650390625,16245.349609375,-0.01636634191551034,-0.017349729665180225
2024-06-04,2024-06-05,2024-06-11,22128.349609375,23264.849609375,0.051359456085170674,0.050308359468949515
2025-04-07,2025-04-08,2025-04-16,22446.75,23437.19921875,0.0441243930078965,0.043080529645987076
2026-03-19,2026-03-20,2026-03-27,23110.150390625,22819.599609375,-0.01257243143549025,-0.013559612147162503
